"@timestamp per week","processName.keyword: Descending",filters,Count
"2020-09-28","P00099_02_AlteredClothesOutsourcing_W10JPO16JP_ProdEnv_P00099_AR_W10JPO16JP",STARTED,10
"2020-09-28","P00099_02_AlteredClothesOutsourcing_W10JPO16JP_ProdEnv_P00099_AR_W10JPO16JP",COMPLETED,8
"2020-09-28","P00177_01_GlobalSeasonReport_W10JPO16JP_ProdEnv_P00177_UR_W10JPO16JP",STARTED,2
"2020-09-28","P00177_01_GlobalSeasonReport_W10JPO16JP_ProdEnv_P00177_UR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00283_TW_DL_Sheet_W10JPO16JP_ProdEnv_P00283_UR_W10JPO16JP",STARTED,24
"2020-09-28","P00283_TW_DL_Sheet_W10JPO16JP_ProdEnv_P00283_UR_W10JPO16JP",COMPLETED,24
"2020-09-28","P00147_ItemTransfer_W10JPO16JP_ProdEnv_P00147_AR_W10JPO16JP",STARTED,2
"2020-09-28","P00147_ItemTransfer_W10JPO16JP_ProdEnv_P00147_AR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00008_Request_Approval_for_Ariba_RC_Win10_ProdEnv_P00008_UR",STARTED,0
"2020-09-28","P00008_Request_Approval_for_Ariba_RC_Win10_ProdEnv_P00008_UR",COMPLETED,0
"2020-09-28","P00027_02_ReceiveIndustrialPhysiciansReport_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",STARTED,2
"2020-09-28","P00027_02_ReceiveIndustrialPhysiciansReport_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",COMPLETED,1
"2020-09-28","P00244_Custommade_SalesPerformance_Management_W10JPO16JP_ProdEnv_P00244_UR_W10JPO16JP",STARTED,1
